Municipio;ibge;cep
AC_ACRELANDIA;1200013;
AC_ASSIS_BRASIL;1200054;
AC_BRASILEIA;1200104;
AC_BUJARI;1200138;
AC_CAPIXABA;1200179;
AC_CRUZEIRO_DO_SUL;1200203;
AC_EPITACIOLANDIA;1200252;
AC_FEIJO;1200302;
AC_JORDAO;1200328;
AC_MANCIO_LIMA;1200336;
AC_MANOEL_URBANO;1200344;
AC_MARECHAL_THAUMATURGO;1200351;
AC_PLACIDO_DE_CASTRO_(CAMPINAS);1200385;
AC_PLACIDO_DE_CASTRO;1200385;
AC_PORTO_ACRE;1200807;
AC_PORTO_ACRE_(VILA_DO_CAQUETA);1200807;
AC_PORTO_ACRE_(VILA_DO_INCRA);1200807;
AC_PORTO_ACRE_(VILA_DO_V);1200807;
AC_PORTO_WALTER;1200393;
AC_RIO_BRANCO;1200401;
AC_RODRIGUES_ALVES;1200427;
AC_SANTA_ROSA_DO_PURUS;1200435;
AC_SENA_MADUREIRA;1200500;
AC_SENADOR_GUIOMARD;1200450;
AC_TARAUACA;1200609;
AC_XAPURI;1200708;
AL_AGUA_BRANCA;2700102;
AL_ANADIA;2700201;
AL_ARAPIRACA;2700300;
AL_ATALAIA;2700409;
AL_ATALAIA_(SAPUCAIA);2700409;
AL_BARRA_DE_SANTO_ANTONIO;2700508;
AL_BARRA_DE_SAO_MIGUEL;2700607;
AL_BATALHA;2700706;
AL_BELEM;2700805;
AL_BELO_MONTE;2700904;
AL_BOCA_DA_MATA;2701001;
AL_BRANQUINHA;2701100;
AL_CACIMBINHAS;2701209;
AL_CAJUEIRO;2701308;
AL_CAMPESTRE;2701357;
AL_CAMPO_ALEGRE;2701407;
AL_CAMPO_GRANDE;2701506;
AL_CANAPI;2701605;
AL_CAPELA;2701704;
AL_CAPELA_(SANTA_EFIGENIA);2701704;
AL_CARNEIROS;2701803;
AL_CHA_PRETA;2701902;
AL_COITE_DO_NOIA;2702009;
AL_COLONIA_LEOPOLDINA;2702108;
AL_COQUEIRO_SECO;2702207;
AL_CORURIPE;2702306;
AL_CORURIPE_(POXIM);2702306;
AL_CRAIBAS;2702355;
AL_DELMIRO_GOUVEIA;2702405;
AL_DOIS_RIACHOS;2702504;
AL_ESTRELA_DE_ALAGOAS;2702553;
AL_FEIRA_GRANDE;2702603;
AL_FELIZ_DESERTO;2702702;
AL_FLEXEIRAS;2702801;
AL_GIRAU_DO_PONCIANO;2702900;
AL_IBATEGUARA;2703007;
AL_IGACI;2703106;
AL_IGREJA_NOVA;2703205;
AL_INHAPI;2703304;
AL_JACARE_DOS_HOMENS;2703403;
AL_JACUIPE;2703502;
AL_JAPARATINGA;2703601;
AL_JARAMATAIA;2703700;
AL_JEQUIA_DA_PRAIA;2703759;
AL_JOAQUIM_GOMES;2703809;
AL_JUNDIA;2703908;
AL_JUNQUEIRO;2704005;
AL_LAGOA_DA_CANOA;2704104;
AL_LIMOEIRO_DE_ANADIA;2704203;
AL_MACEIO;2704302;
AL_MAJOR_ISIDORO;2704401;
AL_MAJOR_ISIDORO_(RIACHO_DO_SERTAO);2704401;
AL_MAR_VERMELHO;2704906;
AL_MARAGOGI;2704500;
AL_MARAGOGI_(BARRA_GRANDE);2704500;
AL_MARAVILHA;2704609;
AL_MARECHAL_DEODORO;2704708;
AL_MARIBONDO;2704807;
AL_MATA_GRANDE;2705002;
AL_MATRIZ_DE_CAMARAGIBE;2705101;
AL_MESSIAS;2705200;
AL_MINADOR_DO_NEGRAO;2705309;
AL_MONTEIROPOLIS;2705408;
AL_MURICI;2705507;
AL_NOVO_LINO;2705606;
AL_OLHO_D_AGUA_DAS_FLORES;2705705;
AL_OLHO_D_AGUA_DO_CASADO;2705804;
AL_OLHO_D_AGUA_GRANDE;2705903;
AL_OLIVENCA;2706000;
AL_OURO_BRANCO;2706109;
AL_PALESTINA;2706208;
AL_PALMEIRA_DOS_INDIOS_(CALDEIROES_DE_CIMA);2706307;
AL_PALMEIRA_DOS_INDIOS_(CANAFISTULA);2706307;
AL_PALMEIRA_DOS_INDIOS;2706307;
AL_PAO_DE_ACUCAR_(LIMOEIRO);2706406;
AL_PAO_DE_ACUCAR;2706406;
AL_PARICONHA;2706422;
AL_PARIPUEIRA;2706448;
AL_PASSO_DE_CAMARAGIBE;2706505;
AL_PAULO_JACINTO;2706604;
AL_PENEDO;2706703;
AL_PIACABUCU;2706802;
AL_PILAR;2706901;
AL_PINDOBA;2707008;
AL_PIRANHAS;2707107;
AL_PIRANHAS_(ENTREMONTES);2707107;
AL_POCO_DAS_TRINCHEIRAS;2707206;
AL_PORTO_CALVO;2707305;
AL_PORTO_DE_PEDRAS;2707404;
AL_PORTO_DE_PEDRAS_(TATUAMUNHA);2707404;
AL_PORTO_REAL_DO_COLEGIO;2707503;
AL_QUEBRANGULO;2707602;
AL_RIO_LARGO;2707701;
AL_ROTEIRO;2707800;
AL_SANTA_LUZIA_DO_NORTE;2707909;
AL_SANTANA_DO_IPANEMA;2708006;
AL_SANTANA_DO_MUNDAU_(MUNGUBA);2708105;
AL_SANTANA_DO_MUNDAU;2708105;
AL_SAO_BRAS;2708204;
AL_SAO_JOSE_DA_LAJE;2708303;
AL_SAO_JOSE_DA_TAPERA;2708402;
AL_SAO_LUIS_DO_QUITUNDE;2708501;
AL_SAO_MIGUEL_DOS_CAMPOS;2708600;
AL_SAO_MIGUEL_DOS_MILAGRES;2708709;
AL_SAO_SEBASTIAO;2708808;
AL_SATUBA;2708907;
AL_SENADOR_RUI_PALMEIRA;2708956;
AL_TANQUE_D_ARCA;2709004;
AL_TAQUARANA;2709103;
AL_TEOTONIO_VILELA;2709152;
AL_TRAIPU;2709202;
AL_UNIAO_DOS_PALMARES_(ROCHA_CAVALCANTE);2709301;
AL_UNIAO_DOS_PALMARES;2709301;
AL_VICOSA;2709400;
AL_VICOSA_(ANEL);2709400;
AM_ALVARAES;1300029;
AM_AMATURA;1300060;
AM_ANAMA;1300086;
AM_ANORI;1300102;
AM_APUI;1300144;
AM_APUI_(SUCUNDURI);1300144;
AM_ATALAIA_DO_NORTE;1300201;
AM_AUTAZES;1300300;
AM_AUTAZES_(MURUTINGA);1300300;
AM_BARCELOS;1300409;
AM_BARREIRINHA;1300508;
AM_BARREIRINHA_(ARIAU);1300508;
AM_BARREIRINHA_(CAMETA);1300508;
AM_BARREIRINHA_(FREGUESIA_DO_ANDIRA);1300508;
AM_BARREIRINHA_(PEDRAS);1300508;
AM_BENJAMIN_CONSTANT;1300607;
AM_BERURI;1300631;
AM_BOA_VISTA_DO_RAMOS;1300680;
AM_BOA_VISTA_DO_RAMOS_(DO_RIO_URUBU);1300680;
AM_BOA_VISTA_DO_RAMOS_(LAGO_PRETO);1300680;
AM_BOA_VISTA_DO_RAMOS_(MASSAUARI);1300680;
AM_BOCA_DO_ACRE;1300706;
AM_BOCA_DO_ACRE_(FLORIANO_PEIXOTO);1300706;
AM_BORBA;1300805;
AM_BORBA_(AXININ);1300805;
AM_BORBA_(CANUMA);1300805;
AM_CAAPIRANGA;1300839;
AM_CANUTAMA;1300904;
AM_CANUTAMA_(ACUANOPOLIS);1300904;
AM_CANUTAMA_(BELO_MONTE);1300904;
AM_CARAUARI;1301001;
AM_CAREIRO;1301100;
AM_CAREIRO_DA_VARZEA;1301159;
AM_CAREIRO_(JANAUACA);1301100;
AM_CAREIRO_(PURUPURU);1301100;
AM_COARI;1301209;
AM_CODAJAS;1301308;
AM_CODAJAS_(BADAJOS);1301308;
AM_EIRUNEPE;1301407;
AM_ENVIRA;1301506;
AM_FONTE_BOA;1301605;
AM_GUAJARA;1301654;
AM_HUMAITA;1301704;
AM_HUMAITA_(REALIDADE);1301704;
AM_IPIXUNA;1301803;
AM_IRANDUBA;1301852;
AM_IRANDUBA_(ARIAU);1301852;
AM_IRANDUBA_(CACAU_PIRERA);1301852;
AM_IRANDUBA_(LAGO_DO_LIMAO);1301852;
AM_IRANDUBA_(PARICATUBA);1301852;
AM_ITACOATIARA;1301902;
AM_ITACOATIARA_(AMATARI);1301902;
AM_ITAMARATI;1301951;
AM_ITAPIRANGA;1302009;
AM_JAPURA;1302108;
AM_JAPURA_(VILA_BITENCOURT);1302108;
AM_JURUA;1302207;
AM_JUTAI;1302306;
AM_LABREA;1302405;
AM_MANACAPURU;1302504;
AM_MANAQUIRI;1302553;
AM_MANAUS;1302603;
AM_MANICORE;1302702;
AM_MANICORE_(SANTO_ANTONIO_DO_MATUPI);1302702;
AM_MARAA;1302801;
AM_MAUES;1302900;
AM_MAUES_(OSORIO_DA_FONSECA);1302900;
AM_MAUES_(REPARTIMENTO);1302900;
AM_NHAMUNDA;1303007;
AM_NOVA_OLINDA_DO_NORTE;1303106;
AM_NOVO_AIRAO;1303205;
AM_NOVO_ARIPUANA;1303304;
AM_PARINTINS;1303403;
AM_PARINTINS_(CABURI);1303403;
AM_PARINTINS_(MOCAMBO);1303403;
AM_PARINTINS_(TRACAJA);1303403;
AM_PARINTINS_(UAICURAPA);1303403;
AM_PARINTINS_(VILA_AMAZONIA);1303403;
AM_PAUINI;1303502;
AM_PRESIDENTE_FIGUEIREDO_(BALBINA);1303536;
AM_PRESIDENTE_FIGUEIREDO;1303536;
AM_RIO_PRETO_DA_EVA;1303569;
AM_SANTA_ISABEL_DO_RIO_NEGRO;1303601;
AM_SANTO_ANTONIO_DO_ICA_(ALTEROSA);1303700;
AM_SANTO_ANTONIO_DO_ICA;1303700;
AM_SAO_GABRIEL_DA_CACHOEIRA_(CUCUI);1303809;
AM_SAO_GABRIEL_DA_CACHOEIRA_(ICANA);1303809;
AM_SAO_GABRIEL_DA_CACHOEIRA_(SAO_FELIPE);1303809;
AM_SAO_GABRIEL_DA_CACHOEIRA;1303809;
AM_SAO_PAULO_DE_OLIVENCA_(SANTA_RITA);1303908;
AM_SAO_PAULO_DE_OLIVENCA;1303908;
AM_SAO_SEBASTIAO_DO_UATUMA_(SANTANA);1303957;
AM_SAO_SEBASTIAO_DO_UATUMA;1303957;
AM_SILVES;1304005;
AM_TABATINGA;1304062;
AM_TAPAUA;1304104;
AM_TEFE;1304203;
AM_TONANTINS;1304237;
AM_UARINI;1304260;
AM_URUCARA;1304302;
AM_URUCURITUBA;1304401;
AM_URUCURITUBA_(AUGUSTO_MONTENEGRO);1304401;
AM_URUCURITUBA_(ITAPEACU);1304401;
AP_AMAPA;1600105;
AP_AMAPA_(SUCURIJU);1600105;
AP_CALCOENE;1600204;
AP_CALCOENE_(CUNANI);1600204;
AP_CALCOENE_(LOURENCO);1600204;
AP_CUTIAS;1600212;
AP_FERREIRA_GOMES;1600238;
AP_ITAUBAL;1600253;
AP_LARANJAL_DO_JARI;1600279;
AP_MACAPA;1600303;
AP_MACAPA_(BAILIQUE);1600303;
AP_MACAPA_(CARAPANANTUBA);1600303;
AP_MACAPA_(FAZENDINHA);1600303;
AP_MACAPA_(SAO_JOAQUIM_DO_PACUI);1600303;
AP_MAZAGAO;1600402;
AP_MAZAGAO_(CARVAO);1600402;
AP_MAZAGAO_(MAZAGAO_VELHO);1600402;
AP_OIAPOQUE;1600501;
AP_OIAPOQUE_(CLEVELANDIA_DO_NORTE);1600501;
AP_OIAPOQUE_(VILA_BRASIL);1600501;
AP_OIAPOQUE_(VILA_VELHA);1600501;
AP_PEDRA_BRANCA_DO_AMAPARI;1600154;
AP_PORTO_GRANDE;1600535;
AP_PRACUUBA;1600550;
AP_SANTANA;1600600;
AP_SANTANA_(ANAUERAPUCU);1600600;
AP_SANTANA_(IGARAPE_DO_LAGO);1600600;
AP_SANTANA_(ILHA_DE_SANTANA);1600600;
AP_SANTANA_(PIACACA);1600600;
AP_SANTANA_(PIRATIVA);1600600;
AP_SERRA_DO_NAVIO_(CACHACO);1600055;
AP_SERRA_DO_NAVIO;1600055;
AP_TARTARUGALZINHO;1600709;
AP_VITORIA_DO_JARI;1600808;
BA_ABAIRA;2900108;
BA_ABAIRA_(CATOLES);2900108;
BA_ABARE;2900207;
BA_ABARE_(IBO);2900207;
BA_ACAJUTIBA;2900306;
BA_ADUSTINA;2900355;
BA_AGUA_FRIA;2900405;
BA_AGUA_FRIA_(PATAIBA);2900405;
BA_AIQUARA;2900603;
BA_ALAGOINHAS;2900702;
BA_ALAGOINHAS_(BOA_UNIAO);2900702;
BA_ALAGOINHAS_(RIACHO_DA_GUIA);2900702;
BA_ALCOBACA;2900801;
BA_ALCOBACA_(SAO_JOSE);2900801;
